"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"Alpha Radio","http://www.alpharadio.bg/","Varna","Bulgaria","Dance",128,"http://www.alpharadio.bg/mp3high.m3u",,
"Alphen Stad FM","http://www.alphenstadfm.nl/","Alphen a/d Rijn","Netherlands","Local service",128,"http://stream01.pcextreme.nl:9275/stream.m3u",,
"Alpski Val","http://www.alpskival.net/","Tolmin","Slovenia","Local service",128,"http://193.95.206.178:8000/alpskival.m3u",,
"Alta Frequenza","http://www.alta-frequenza.com/","Ajaccio","France","News/talk/music",64,"http://str80.streamakaci.com:7020/listen.pls",,
"AlterNantes","http://www.alternantesfm.net/","Nantes","France","Variety",128,"http://www.alternantesfm.net/alternantes_mp3.m3u",,
"Amazing Radio","http://amazingradio.co.uk/","Digital Network","United Kingdom","Unsigned artists",128,"http://stream.amazingradio.co.uk:8000/listen.pls",,
"Amber Sound","http://www.ambersoundfm.com/","Ripley","United Kingdom","Community radio",96,"http://www.ambersoundfm.com/AmberSound.m3u",,
"AMC Radio 5","http://www.amcradio5.com/","Murcia","Spain","Diverse local programming",64,"http://server7.20comunicacion.com/tunein.php/amcradio/playlist.pls",,
"Andover Sound","http://www.andoversound.com/","Andover","United Kingdom","Current/Classic Hits",128,"http://stream1.radiomonitor.com/AndoverSound-128.m3u",,
"Angel Radio","http://www.angelradio.co.uk/","Havant","United Kingdom","Community radio",64,"http://s6.viastreaming.net:7030/listen.pls",,
"ANR","http://www.anr.dk/","Ålborg","Denmark","Top 40",128,"http://www.anr.dk/upload/anr.m3u",,
"Antena Boreal","http://www.antenaboreal.com/","Valdemoro","Spain","Local service",96,"http://www.antenaboreal.com/live.m3u",,
"Antena M","http://www.antenam.net/","Podgorica","Montenegro","Pop",56,"http://antenam.primcast.com:4528/listen.pls",,
"Antena Radio","http://www.antenaradio.rs/","Kruševac","Serbia","Local service",128,"http://94.23.38.225:7005/listen.pls",,
"Antena Zagreb","http://www.antenazagreb.hr/","Zagreb","Croatia","Top 40",96,"http://173.192.137.34:8050/listen.pls",64,"http://173.192.137.34:8044/listen.pls"
"Antena-6","http://www.antena6.com/","Madrid","Spain","Top 40",96,"http://www.antena6.com:8015/listen.pls",,
"Antenna 5","http://www.antenna5.com.mk/","Skopje","Macedonia","Top 40",,,48,"http://217.16.69.17:8000/live32.mp3.m3u"
"Antenna 5 Chillout","http://www.antenna5.com.mk/","Skopje","Macedonia","Chillout",160,"http://217.16.69.17:8000/chillouthits.mp3.m3u",,
"Antenna 5 Dance","http://www.antenna5.com.mk/","Skopje","Macedonia","Dance",160,"http://217.16.69.17:8000/dancehits.mp3.m3u",,
"Antenna 5 Gold","http://www.antenna5.com.mk/","Skopje","Macedonia","Oldies/80s/90s",160,"http://217.16.69.17:8000/goldhits.mp3.m3u",,
"Antenna 5 Hitlist","http://www.antenna5.com.mk/","Skopje","Macedonia","Top 40",160,"http://217.16.69.17:8000/hitlist.mp3.m3u",,
"Antenna 5 Italo","http://www.antenna5.com.mk/","Skopje","Macedonia","Italian pop",160,"http://217.16.69.17:8000/italohits.mp3.m3u",,
"Antenna 5 Latino","http://www.antenna5.com.mk/","Skopje","Macedonia","Latin hits",160,"http://217.16.69.17:8000/latinohits.mp3.m3u",,
"Antenna 5 Love","http://www.antenna5.com.mk/","Skopje","Macedonia","Love songs",160,"http://217.16.69.17:8000/lovehits.mp3.m3u",,
